playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100018","null","Raiders","DST","OAK","DST","OAK","null","3.4253","null","null","331","32","null","null","null","null","null","null","4.9686","-1","7.4542","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","9.5815","null","null","141","2","null","null","1.0762","null","null","null","13.0793","5.5744","12.0176","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","6.0963","null","null","242","23","null","null","0.0457","null","null","null","8.0755","4.1","2.159","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.4712","null","null","202","11","null","null","0.4348","null","null","null","8.3303","5.6777","3.0613","null",
"100022","null","Saints","DST","NO","DST","NO","null","6.4079","null","null","231","19","null","null","0.0963","null","null","null","8.5515","3.7208","3.8725","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","5.8353","null","null","253","26","null","null","0.0832","null","null","null","6.158","1.7777","5.3496","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","7.7057","null","null","195","9","null","null","0.2059","null","null","null","8.0537","4.9553","2.228","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","5.2031","null","null","276","30","null","null","1.0354","null","null","null","6.4071","4.3","4.6578","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","8.5124","null","null","164","3","null","null","0.0388","null","null","null","9.5012","4.3515","5.1422","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","6.3492","null","null","233","20","null","null","0.0887","null","null","null","7.5573","4.0348","3.431","null",
"100028","null","Chargers","DST","SD","DST","SD","null","5.3775","null","null","270","29","null","null","0.3208","null","null","null","5.8509","4.3","6.5386","null",
"100029","null","49ers","DST","SF","DST","SF","null","5.8219","null","null","254","27","null","null","0.2921","null","null","null","6.5544","3.7317","2.9895","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","6.2469","null","null","241","22","null","null","0.1649","null","null","null","6.3216","4.1959","4.8284","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","4.9102","null","null","289","31","null","null","null","null","null","null","5.9089","2.7989","5.6339","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","7.1637","null","null","210","12","null","null","0.2615","null","null","null","8.7337","4.9","4.9063","null",
"163982","null","Will Johnson","RB","FA","RB","FA","null","3.4816","null","null","327","79","null","null","0.3239","null","null","null","4.2343","0.776","3.2214","null",
"238445","null","Frank Summers","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","0.6407","null","null","461","82","null","null","0.032","null","null","null","0.9467","0.05","5.8633","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","15.8533","null","null","42","12","null","null","0.314","null","null","null","16.9747","14.2103","5.4656","null",
"496812","null","Erik Lorig","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"497095","null","Sam Bradford","QB","PHI","QB","PHI","null","17.2058","null","null","25","18","null","null","0.1046","null","null","null","18.4544","14.436","4.5802","null",
